순번	학번	이름	성별	과정	메모	과목수	1학기 [택4]													1학기 [택1]					2학기 [택8]															
							언어생활 탐구	미적분Ⅱ	심화 영어	동아시아 역사 기행	한국지리 탐구	인문학과 윤리	정치	법과 사회	전자기와 양자	화학 반응의 세계	생물의 유전	행성우주과학	인공지능 기초	교육의 이해	논리와 사고	보건	인간과 심리	인간과 경제활동	문학과 영상	주제 탐구 독서	경제수학	수학과제 탐구	수학과 문화	심화 영어	심화 영어 독해와 작문	세계 문화와 영어	도시의 미래 탐구	인문학과 윤리	역사로 탐구하는 현대 세계	기후변화와 지속가능한 세계	사회문제탐구	융합과학 탐구	기후변화와 환경생태	인공지능 기초
98	20502	학생98	남	1		13					1		1	1					1					1				1	1	1	1					1	1		1	1
99	20503	학생99	남	1		13			1	1					1			1					1				1		1	1			1	1			1		1	1
100	20504	학생100	남	1		13	1							1	1		1				1				1	1	1	1	1						1			1	1	
101	20505	학생101	남	1		13							1	1			1	1				1			1	1		1	1			1	1			1			1	
102	20506	학생102	남	1		13	1				1	1				1				1						1		1	1			1				1	1	1	1	
103	20507	학생103	남	1		13	1	1			1		1										1		1	1					1				1		1	1	1	1
104	20508	학생104	남	1		13		1		1		1					1				1					1			1	1	1				1	1		1	1	
105	20509	학생105	남	1		13					1		1		1				1		1							1				1	1		1	1	1	1		1
106	20510	학생106	남	1		13		1					1	1			1					1			1	1		1						1	1	1	1		1	
107	20511	학생107	남	1		13	1		1	1				1						1						1	1	1					1		1		1	1	1	
108	20512	학생108	남	1		13		1				1		1	1					1						1						1			1	1	1	1	1	1
109	20513	학생109	남	1		13	1		1	1							1				1				1	1							1			1	1	1	1	1
110	20514	학생110	남	1		13	1			1		1				1							1			1		1	1					1			1	1	1	1
111	20515	학생111	남	1		13	1	1	1					1									1			1		1				1	1			1	1		1	1
112	20516	학생112	남	1		13		1								1		1	1		1				1	1		1	1	1					1	1			1	
113	20517	학생113	남	1		13						1		1		1	1			1								1		1		1			1	1	1	1	1	
114	20518	학생114	남	1		13				1		1	1			1						1				1	1	1						1		1	1		1	1
115	20519	학생115	남	1		13	1			1		1							1				1		1	1		1		1	1						1	1		1
116	20520	학생116	남	1		13					1	1	1			1				1					1		1	1	1			1				1	1		1	
117	20521	학생117	남	1		13		1	1					1		1						1						1	1						1	1	1	1	1	1
118	20522	학생118	남	1		13		1				1		1		1					1						1	1	1	1		1			1			1	1	
119	20523	학생119	남	1		13			1		1		1			1						1			1	1		1		1						1	1	1		1
120	20524	학생120	남	1		13			1			1					1		1			1			1	1	1			1					1		1		1	1
121	20601	학생121	남	1		13			1		1						1	1				1			1	1					1	1		1		1	1		1	
122	20602	학생122	남	1		13		1	1					1			1			1						1		1	1	1			1			1			1	1
123	20603	학생123	남	1		13		1	1						1		1				1				1							1			1	1	1	1	1	1
124	20604	학생124	남	1		13			1		1				1			1						1		1			1			1			1	1	1		1	1
125	20605	학생125	남	1		13						1	1		1	1							1				1			1	1	1	1				1		1	1
126	20606	학생126	남	1		13		1					1			1		1			1					1		1		1			1			1	1	1		1
127	20607	학생127	남	1		13		1							1			1	1		1					1							1		1	1	1	1	1	1
128	20608	학생128	남	1		13		1						1	1				1			1			1	1				1			1	1	1		1			1
129	20609	학생129	남	1		13						1			1	1			1				1			1	1	1				1		1				1	1	1
130	20610	학생130	남	1		13			1	1			1			1					1				1		1	1			1					1		1	1	1
131	20611	학생131	남	1		13		1	1		1					1					1				1	1			1	1			1		1	1	1			
132	20612	학생132	남	1		13			1		1		1		1							1					1	1		1						1	1	1	1	1
133	20613	학생133	남	1		13		1			1			1				1			1							1	1	1			1		1		1	1		1
134	20614	학생134	남	1		13			1	1		1			1					1					1	1		1					1			1	1	1		1
135	20615	학생135	남	1		13	1		1	1									1					1		1			1	1		1				1		1	1	1
136	20616	학생136	남	1		13	1							1	1			1					1		1	1		1								1	1	1	1	1
137	20617	학생137	남	1		13					1		1				1		1					1	1	1				1		1	1		1	1		1		
138	20618	학생138	남	1		13		1			1							1	1				1			1	1		1	1		1			1				1	1
139	20619	학생139	남	1		13				1		1	1		1									1	1			1		1			1			1		1	1	1
140	20620	학생140	남	1		13		1			1			1	1							1						1	1	1		1	1				1	1		1
141	20621	학생141	남	1		13				1	1		1						1				1			1	1								1	1	1	1	1	1
142	20622	학생142	남	1		13			1		1		1	1						1					1				1	1					1		1	1	1	1
143	20623	학생143	남	1		13							1		1	1		1					1		1	1		1		1							1	1	1	1
144	20624	학생144	남	1		13			1	1		1			1					1						1		1	1			1	1		1			1		1
145	20701	학생145	남	1		13		1							1		1		1			1			1	1			1							1	1	1	1	1
146	20702	학생146	남	1		13		1	1		1			1										1		1	1			1	1	1				1		1		1
147	20703	학생147	남	1		13								1	1		1	1						1	1	1				1		1				1	1		1	1
148	20704	학생148	남	1		13		1	1		1				1								1		1	1	1	1				1	1			1			1	
149	20705	학생149	남	1		13	1			1					1	1							1		1	1		1	1	1		1	1						1	
150	20706	학생150	남	1		13	1				1			1			1				1				1	1		1	1			1					1	1		1
151	20707	학생151	남	1		13		1		1		1						1				1				1				1			1			1	1	1	1	1
152	20708	학생152	남	1		13							1	1		1			1				1					1	1	1		1	1			1		1	1	
153	20709	학생153	남	1		13			1					1	1				1		1				1				1	1					1	1	1	1		1
154	20710	학생154	남	1		13				1	1			1					1			1			1		1		1				1				1	1	1	1
155	20711	학생155	남	1		13				1		1				1			1		1							1			1	1			1		1	1	1	1
156	20712	학생156	남	1		13					1		1	1			1			1					1	1				1		1	1				1	1		1
157	20713	학생157	남	1		13				1		1				1	1						1			1					1	1	1		1			1	1	1
158	20714	학생158	남	1		13		1			1					1			1		1				1	1		1		1							1	1	1	1
159	20715	학생159	남	1		13	1		1			1		1									1		1				1	1		1				1	1		1	1
160	20716	학생160	남	1		13					1	1	1	1						1						1		1				1			1	1		1	1	1
161	20717	학생161	남	1		13			1		1		1		1								1			1		1		1	1				1	1	1			1
162	20718	학생162	남	1		13			1	1			1	1									1		1	1			1	1		1				1		1	1	
163	20719	학생163	남	1		13		1	1		1						1						1		1	1		1						1	1			1	1	1
164	20720	학생164	남	1		13	1	1						1	1							1				1		1		1					1	1	1		1	1
165	20721	학생165	남	1		13				1		1	1						1		1				1	1		1	1						1		1		1	1
166	20722	학생166	남	1		13		1	1		1					1				1					1	1		1	1	1		1			1			1		
167	20723	학생167	남	1		13		1		1	1						1					1			1	1		1							1	1	1	1		1
168	20724	학생168	남	1		13	1							1			1		1				1		1				1	1	1						1	1	1	1
169	20801	학생169	남	1		13	1						1			1	1							1	1	1		1		1			1				1	1	1	
170	20802	학생170	남	1		13	1	1									1	1		1						1		1							1	1	1	1	1	1
171	20803	학생171	남	1		13	1							1	1	1							1						1	1	1				1		1	1	1	1
172	20804	학생172	남	1		13	1	1							1				1			1			1	1			1	1			1			1		1		1
173	20805	학생173	남	1		13					1						1	1	1					1	1			1	1	1						1		1	1	1
174	20806	학생174	남	1		13		1					1				1	1					1			1		1		1		1			1		1	1		1
175	20807	학생175	남	1		13				1	1				1	1				1								1	1				1		1	1	1	1	1	
176	20808	학생176	남	1		13		1		1							1		1					1	1	1	1	1				1				1	1		1	
177	20809	학생177	남	1		13		1	1	1			1										1			1		1		1			1			1	1		1	1
178	20810	학생178	남	1		13				1		1					1		1			1			1	1							1		1	1	1		1	1
179	20811	학생179	남	1		13	1								1			1	1				1			1			1						1	1	1	1	1	1
180	20812	학생180	남	1		13	1			1	1								1				1		1				1	1		1	1					1	1	1
181	20813	학생181	남	1		13					1	1	1						1		1				1					1		1		1	1			1	1	1
182	20814	학생182	남	1		13	1	1			1	1												1		1			1		1	1			1			1	1	1
183	20815	학생183	남	1		13	1		1			1	1									1			1	1		1		1						1	1		1	1
184	20816	학생184	남	1		13	1				1		1						1	1						1		1	1					1	1	1		1		1
185	20817	학생185	남	1		13	1								1	1		1		1								1	1	1		1	1			1	1	1		
186	20818	학생186	남	1		13					1	1	1				1					1						1		1			1		1		1	1	1	1
187	20819	학생187	남	1		13	1	1			1	1												1	1	1			1	1					1		1		1	1
188	20820	학생188	남	1		13	1	1									1	1				1				1	1	1		1		1			1		1		1	
189	20821	학생189	남	1		13	1	1			1	1											1			1			1			1				1	1	1	1	1
190	20822	학생190	남	1		13				1	1		1	1							1					1			1	1		1			1			1	1	1
191	20823	학생191	남	1		13					1	1	1						1					1	1	1	1					1				1	1		1	1
192	20824	학생192	남	1		13						1	1		1				1			1			1	1		1					1		1		1		1	1
